Player ID:,1185521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Rafael Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Dec 06 2025 7:10:38 PM,1765048238,Fastball,Y,-0.26,18.8,86.3,2164,2063,94.12,2:22,1,16.1,11.3,-,-,-,-,1.88,-1.2,5.33,0.22,19.74,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
2,Sat Dec 06 2025 7:10:03 PM,1765048203,ChangeUp,N,59.2,42.91,72.3,1563,1481,99.51,2:30,0.5,-2,9.1,-,-,-,-,-2.78,4.56,5.05,0.46,-5.65,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
3,Sat Dec 06 2025 7:09:40 PM,1765048180,Slider,Y,-7.17,22.53,71.4,2010,1433.4,92.1,7:18,1,3.1,-6.9,-,-,-,-,0,4.52,5.29,0.15,22.93,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,Feliz,high_intent,-
